Class,Order,Family,Genus,Species,1,2,3,4,5,6,7,8,9,10,category_at_start,num_assessments,category_at_end,numeric_category_at_start,numeric_category_at_end,Delta_Status,is_geniune,to_check
MAMMALIA,CHIROPTERA,MEGADERMATIDAE,Cardioderma,Cardioderma cor,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa alsco,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN,1,EN,3,3,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa annulata,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN,1,EN,3,3,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa cyaneospila,NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NT,1,NT,1,1,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa elegans,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa escalerae,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa gracilis,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa gratiosa,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa manengouba,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,CR,1,CR,4,4,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa melanogaster,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,VU,1,VU,2,2,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa nigromaculata,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa oreas,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN,1,EN,3,3,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa pulchra,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN,1,EN,3,3,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa schioetzi,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,VU,1,VU,2,2,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa trifasciata,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,CR,1,CR,4,4,0,NA,No
AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,Cardioglossa venusta,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN,1,EN,3,3,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carduelis,Carduelis caniceps,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carduelis,Carduelis carduelis,LC,LC,LC,NA,NA,NA,NA,NA,NA,NA,LC,3,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carduelis,Carduelis citrinella,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carduelis,Carduelis corsicana,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
ACTINOPTERYGII,SCORPAENIFORMES,LIPARIDAE,Careproctus,Careproctus albescens,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
ACTINOPTERYGII,SCORPAENIFORMES,LIPARIDAE,Careproctus,Careproctus reinhardti,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,TESTUDINES,CHELONIIDAE,Caretta,Caretta caretta,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,VU,1,VU,2,2,0,NA,No
REPTILIA,TESTUDINES,CARETTOCHELYIDAE,Carettochelys,Carettochelys insculpta,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN,1,EN,3,3,0,NA,No
AVES,CARIAMIFORMES,CARIAMIDAE,Cariama,Cariama cristata,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,CORACIIFORMES,ALCEDINIDAE,Caridonax,Caridonax fulgidus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Carinotetraodon,Carinotetraodon lorteti,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Carinotetraodon,Carinotetraodon travancoricus,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,VU,1,VU,2,2,0,NA,No
ACTINOPTERYGII,SILURIFORMES,ARIIDAE,Carlarius,Carlarius heudelotii,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
ACTINOPTERYGII,SILURIFORMES,ARIIDAE,Carlarius,Carlarius parkii,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
ACTINOPTERYGII,CHARACIFORMES,CHARACIDAE,Carlastyanax,Carlastyanax aurocaudatus,NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NT,1,NT,1,1,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia aenigma,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia ailanpalai,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia amax,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia aramia,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia bicarinata,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia bomberai,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia caesius,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia decora,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia diguliensis,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia dogare,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia eothen,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia fusca,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia gracilis,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia inconnexa,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia jarnoldae,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia johnstonei,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia longipes,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia luctuosa,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia munda,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia mysi,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia pectoralis,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia pulla,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia rhomboidalis,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia rimula,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia rostralis,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia rubigo,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia rubrigularis,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia rufilatus,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia schmeltzii,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia sexdentata,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia storri,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia tetradactyla,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia triacantha,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia vivax,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,SCINCIDAE,Carlia,Carlia wundalthini,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,VU,1,VU,2,2,0,NA,No
MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,Carollia brevicauda,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,Carollia castanea,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,Carollia manu,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,Carollia perspicillata,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,Carollia sowelli,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Carollia,Carollia subrufa,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,CARPHODACTYLIDAE,Carphodactylus,Carphodactylus laevis,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
ACTINOPTERYGII,CYPRINIFORMES,CATOSTOMIDAE,Carpiodes,Carpiodes carpio,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
ACTINOPTERYGII,CYPRINIFORMES,CATOSTOMIDAE,Carpiodes,Carpiodes cyprinus,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
ACTINOPTERYGII,CYPRINIFORMES,CATOSTOMIDAE,Carpiodes,Carpiodes velifer,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Carpitalpa,Carpitalpa arendsi,VU,VU,NA,NA,NA,NA,NA,NA,NA,NA,VU,2,VU,2,2,0,NA,No
AVES,CUCULIFORMES,CUCULIDAE,Carpococcyx,Carpococcyx radiceus,NT,NT,NT,NA,NA,NA,NA,NA,NA,NA,NT,3,NT,1,1,0,NA,No
AVES,CUCULIFORMES,CUCULIDAE,Carpococcyx,Carpococcyx viridis,CR,CR,CR,CR,CR,NA,NA,NA,NA,NA,CR,5,CR,4,4,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus dubius,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus edwardsii,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus erythrinus,LC,LC,LC,LC,LC,LC,NA,NA,NA,NA,LC,6,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus formosanus,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus pulcherrimus,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus puniceus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus rhodochlamys,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus roborowskii,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus rodochroa,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus rodopeplus,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus roseus,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus rubicilla,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus rubicilloides,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus sibiricus,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus sipahi,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus stoliczkae,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus subhimachalus,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus synoicus,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus thura,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus trifasciatus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus verreauxii,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus vinaceus,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AVES,PASSERIFORMES,FRINGILLIDAE,Carpodacus,Carpodacus waltoni,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,COTINGIDAE,Carpodectes,Carpodectes antoniae,EN,EN,EN,NA,NA,NA,NA,NA,NA,NA,EN,3,EN,3,3,0,NA,No
AVES,PASSERIFORMES,COTINGIDAE,Carpodectes,Carpodectes hopkei,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,COTINGIDAE,Carpodectes,Carpodectes nitidus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
MAMMALIA,RODENTIA,MURIDAE,Carpomys,Carpomys phaeurus,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
AVES,PASSERIFORMES,COTINGIDAE,Carpornis,Carpornis cucullata,NT,NT,NT,NA,NA,NA,NA,NA,NA,NA,NT,3,NT,1,1,0,NA,No
AVES,PASSERIFORMES,COTINGIDAE,Carpornis,Carpornis melanocephala,VU,VU,VU,NA,NA,NA,NA,NA,NA,NA,VU,3,VU,2,2,0,NA,No
AVES,PASSERIFORMES,PASSERIDAE,Carpospiza,Carpospiza brachydactyla,LC,LC,LC,LC,LC,LC,NA,NA,NA,NA,LC,6,LC,0,0,0,NA,No
AVES,PASSERIFORMES,MONARCHIDAE,Carterornis,Carterornis castus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,MONARCHIDAE,Carterornis,Carterornis chrysomela,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,MONARCHIDAE,Carterornis,Carterornis leucotis,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,MONARCHIDAE,Carterornis,Carterornis pileatus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
MAMMALIA,RODENTIA,CRICETIDAE,Caryomys,Caryomys eva,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
MAMMALIA,RODENTIA,CRICETIDAE,Caryomys,Caryomys inez,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
AVES,PASSERIFORMES,CARDINALIDAE,Caryothraustes,Caryothraustes canadensis,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,CARDINALIDAE,Caryothraustes,Caryothraustes celaeno,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,CARDINALIDAE,Caryothraustes,Caryothraustes poliogaster,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
REPTILIA,SQUAMATA,BOLYERIDAE,Casarea,Casarea dussumieri,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,VU,1,VU,2,2,0,NA,No
MAMMALIA,CHIROPTERA,PTEROPODIDAE,Casinycteris,Casinycteris argynnis,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
AVES,PASSERIFORMES,TYRANNIDAE,Casiornis,Casiornis fuscus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,TYRANNIDAE,Casiornis,Casiornis rufus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Caspiosoma,Caspiosoma caspium,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
AVES,PASSERIFORMES,ICTERIDAE,Cassiculus,Cassiculus melanicterus,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,THRAUPIDAE,Castanozoster,Castanozoster thoracicus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
MAMMALIA,RODENTIA,CASTORIDAE,Castor,Castor canadensis,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
MAMMALIA,RODENTIA,CASTORIDAE,Castor,Castor fiber,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
ACTINOPTERYGII,OPHIDIIFORMES,BYTHITIDAE,Cataetyx,Cataetyx alleni,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
ACTINOPTERYGII,OPHIDIIFORMES,BYTHITIDAE,Cataetyx,Cataetyx bruuni,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,1,LC,0,0,0,NA,No
ACTINOPTERYGII,OPHIDIIFORMES,BYTHITIDAE,Cataetyx,Cataetyx laticeps,LC,LC,NA,NA,NA,NA,NA,NA,NA,NA,LC,2,LC,0,0,0,NA,No
MAMMALIA,CETARTIODACTYLA,TAYASSUIDAE,Catagonus,Catagonus wagneri,EN,EN,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,EN,3,3,0,NA,No
AVES,PASSERIFORMES,THRAUPIDAE,Catamblyrhynchus,Catamblyrhynchus diadema,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,THRAUPIDAE,Catamenia,Catamenia analis,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,THRAUPIDAE,Catamenia,Catamenia homochroa,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,THRAUPIDAE,Catamenia,Catamenia inornata,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,TURDIDAE,Cataponera,Cataponera turdoides,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,CHARADRIIFORMES,STERCORARIIDAE,Catharacta,Catharacta antarctica,LC,LC,LC,NA,NA,NA,NA,NA,NA,NA,LC,3,LC,0,0,0,NA,No
AVES,CHARADRIIFORMES,STERCORARIIDAE,Catharacta,Catharacta chilensis,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,CHARADRIIFORMES,STERCORARIIDAE,Catharacta,Catharacta lonnbergi,LC,LC,LC,NA,NA,NA,NA,NA,NA,NA,LC,3,LC,0,0,0,NA,No
AVES,CHARADRIIFORMES,STERCORARIIDAE,Catharacta,Catharacta maccormicki,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,CHARADRIIFORMES,STERCORARIIDAE,Catharacta,Catharacta skua,LC,LC,LC,LC,LC,LC,NA,NA,NA,NA,LC,6,LC,0,0,0,NA,No
AVES,PASSERIFORMES,PARULIDAE,Catharopeza,Catharopeza bishopi,EN,EN,EN,NA,NA,NA,NA,NA,NA,NA,EN,3,EN,3,3,0,NA,No
AVES,CATHARTIFORMES,CATHARTIDAE,Cathartes,Cathartes aura,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,CATHARTIFORMES,CATHARTIDAE,Cathartes,Cathartes burrovianus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,CATHARTIFORMES,CATHARTIDAE,Cathartes,Cathartes melambrotus,LC,LC,LC,LC,NA,NA,NA,NA,NA,NA,LC,4,LC,0,0,0,NA,No
AVES,PASSERIFORMES,TURDIDAE,Catharus,Catharus aurantiirostris,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,TURDIDAE,Catharus,Catharus bicknelli,VU,VU,VU,VU,NA,NA,NA,NA,NA,NA,VU,4,VU,2,2,0,NA,No
AVES,PASSERIFORMES,TURDIDAE,Catharus,Catharus dryas,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,TURDIDAE,Catharus,Catharus frantzii,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,TURDIDAE,Catharus,Catharus fuscater,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
AVES,PASSERIFORMES,TURDIDAE,Catharus,Catharus fuscescens,LC,LC,LC,LC,LC,NA,NA,NA,NA,NA,LC,5,LC,0,0,0,NA,No
